,time,text,deaths,death_score,injuries,injury_score,location,location_score,tweet_loc
23,2021-08-18T04:44:10.000Z,"America's greatest tragedies is a politicized one, when it was a medical problem to begin with. A tragedy where a humanitarian approach was needed, but hostility and defiance against a severe public health threat fostered a reaction that caused over half a million people die.",4842,"{'48': {'500': 0.14339663088321686, '5': 0.10168343782424927, '5000': 0.08106911182403564, 'none': 0.0738142654299736, 'over': 0.06313668191432953}, '42': {',': 0.24612519145011902, '000': 0.0979018360376358, '00': 0.0622301921248436, '0000': 0.050790801644325256, '50': 0.03804055601358414}}",15000,"{'15': {'5000': 0.07919389009475708, '5': 0.06313887983560562, 'none': 0.05977868661284447, '500': 0.04917261004447937, '4': 0.04655568674206734}, '000': {'000': 0.3745768666267395, '0000': 0.27404630184173584, ',': 0.07261503487825394, '500': 0.028659487143158913, '|': 0.02016446925699711}}",United States,"{'United': {'America': 0.34844744205474854, 'US': 0.1595308631658554, 'USA': 0.15705756843090057, 'United': 0.14078548550605774, 'U': 0.02837972342967987}, ' States': {' States': 0.9855631589889526, ' states': 0.005462467670440674, ' State': 0.0017323228530585766, ' Kingdom': 0.001297449809499085, ' S': 0.0009947892976924777}}","[-112.0383105, 40.6998952, -111.795741, 40.8317151]"
24,2021-08-18T04:31:03.000Z,"#Haiti #earthquake: Death toll reaches nearly 2,000\nhttps://t.co/Q44tkr6uiD",2500,"{'2500': {'2': 0.25524500012397766, '2000': 0.15481393039226532, 'none': 0.07907121628522873, '23': 0.03677153214812279, '27': 0.02954675629734993}}",-1,"{'none': {'none': 0.18030284345149994, '2000': 0.12199901789426804, '2': 0.07399614155292511, '3000': 0.05498925969004631, '4000': 0.05456133186817169}}",Haiti,"{'H': {'H': 0.9062868356704712, 'Port': 0.030530640855431557, '#': 0.014198066666722298, '\n': 0.0072516631335020065, 'Ha': 0.005736537277698517}, 'ait': {'ait': 0.9995817542076111, 'ond': 0.00019106088439002633, 'av': 6.0119979025330395e-05, 'ai': 3.320140240248293e-05, 'ain': 2.976154792122543e-05}, 'i': {'i': 0.9987795948982239, 'ian': 0.00039171689422801137, 'í': 0.0001765606430126354, 'ï': 9.159845649264753e-05, 'iti': 6.649334682151675e-05}}","[103.7014313, 1.4264073, 103.9747568, 1.6244]"
25,2021-08-18T01:50:44.000Z,"The death toll in Haiti’s devastating earthquake surged to nearly 2,000 as the search for survivors was hampered by heavy rains brought by Tropical Storm Grace https://t.co/2cYzLuDlj8 #PrayForHaiti #HaitiRelief #haitiearthquake #prayerispowerful #TropicalStormGrace",3000,"{'3000': {'2000': 0.2798541188240051, '2': 0.19844627380371094, 'none': 0.13962440192699432, '4000': 0.0471351221203804, '23': 0.022971823811531067}}",4000,"{'4000': {'none': 0.21654553711414337, '2000': 0.09460174292325974, '4000': 0.07367591559886932, '5000': 0.06351260095834732, '2': 0.0610794760286808}}",Haiti,"{'H': {'H': 0.9148477911949158, 'Ha': 0.015864282846450806, 'Port': 0.013049602508544922, 'P': 0.009399277158081532, 'HA': 0.006561751943081617}, 'ait': {'ait': 0.9995458722114563, 'ond': 0.00010717161057982594, 'ai': 8.477971277898178e-05, 'ain': 7.840841863071546e-05, 'av': 3.942623152397573e-05}, 'i': {'i': 0.9987167119979858, 'ian': 0.00036225610529072583, 'is': 0.0001711176591925323, 'I': 0.00014522566925734282, 'í': 0.00011760733468690887}}","[-0.254563, 51.463873, -0.177653, 51.532901]"
26,2021-08-17T14:43:01.000Z,"As earthquake death toll climbs in #Haiti, affected regions remain inaccessible by road, but that hasn't stopped our teams from delivering vital aid. Humanity &amp; Inclusion already has a fleet of 10 boats serving the hardest-hit region by sea.\n\nRead more: https://t.co/VBEkJVFfVy",4000,"{'4000': {'none': 0.2626335620880127, '4000': 0.15805566310882568, '5000': 0.057692933827638626, '10': 0.05591790750622749, '4': 0.04493130370974541}}",600,"{'600': {'none': 0.1353657841682434, '600': 0.09598870575428009, '5000': 0.08083059638738632, '6000': 0.06444377452135086, '3000': 0.05342576280236244}}",Haiti,"{'H': {'H': 0.8818145990371704, 'Port': 0.06906905770301819, 'Ha': 0.009719841182231903, '#': 0.005243461113423109, 'P': 0.003927171230316162}, 'ait': {'ait': 0.9995273351669312, 'ond': 0.0001659875561017543, 'av': 3.2684882171452045e-05, 'ain': 3.070461025345139e-05, 'ai': 2.8176133127999492e-05}, 'i': {'i': 0.9982888102531433, 'ian': 0.0007089591235853732, 'í': 0.0001938186469487846, 'I': 9.669971041148528e-05, 'ï': 9.37245786190033e-05}}","[-74.4798235, 18.0214258, -71.6284598, 20.0894352]"
27,2021-08-16T21:27:51.000Z,"#PrayForHaiti \n\nDevastating Photos From Haiti Earthquake Show Extent Of Death Toll, Injuries, Hopelessness https://t.co/QASoRJXmEp",3000,"{'3000': {'none': 0.36307618021965027, '6000': 0.06067612022161484, '4000': 0.05927055701613426, '5000': 0.04439159482717514, '3000': 0.04302580654621124}, ' deaths': {'|': 0.9541648626327515, '+': 0.03642340004444122, ' |': 0.0017303719650954008, ',': 0.0016771340742707253, '-': 0.0008367532282136381}}",-1,"{'10000': {'5000': 0.13835588097572327, '6000': 0.0807022750377655, '3000': 0.07883280515670776, 'none': 0.068491131067276, '4000': 0.0576753132045269}, ' injuries': {' injuries': 0.4528641402721405, ' injured': 0.3638865649700165, '+': 0.11361092329025269, ' inj': 0.01636720634996891, '|': 0.007094658445566893}}",Haiti,"{'H': {'H': 0.6598621606826782, 'Port': 0.1567310094833374, 'Ha': 0.02810032106935978, '#': 0.02171424590051174, 'P': 0.020719878375530243}, 'ait': {'ait': 0.9984275102615356, 'ond': 0.00038550797034986317, 'av': 0.0002489026519469917, 'ai': 0.00011665832425933331, 'ut': 9.085358760785311e-05}, 'i': {'i': 0.9971572160720825, 'ian': 0.0013438431778922677, 'í': 0.00021429448679555207, 'is': 0.00012499687727540731, 'ï': 0.00011834465840365738}}","[-118.668404, 33.704538, -118.155409, 34.337041]"
28,2021-08-16T17:29:38.000Z,"@NJGuy4Biden @GOP Or close to home humanitarian news-Death toll of powerful earthquake in Haiti soars to 1,297-",297,"{'297': {'1': 0.3345738649368286, 'none': 0.13000139594078064, '13': 0.12502112984657288, '12': 0.0746535211801529, '14': 0.06335761398077011}}",0,"{'0': {'none': 0.512610912322998, '1': 0.14686548709869385, '13': 0.031269464641809464, '3000': 0.028249606490135193, '12': 0.02532278560101986}}",Haiti,"{'H': {'H': 0.8221387267112732, 'Port': 0.08398675918579102, 'Ha': 0.02482643909752369, 'P': 0.00906206201761961, '\n': 0.005989656783640385}, 'ait': {'ait': 0.9990142583847046, 'av': 0.00026928610168397427, 'ond': 0.00020326780213508755, 'ain': 5.179724394110963e-05, 'oll': 4.065611574333161e-05}, 'i': {'i': 0.9984180927276611, 'í': 0.00047976788482628763, 'ian': 0.0003915751294698566, 'I': 0.00013116124318912625, 'is': 9.521284664515406e-05}}","[-97.233811, 32.586565, -97.037464, 32.817135]"
29,2021-08-16T10:32:27.000Z,"the fall of #Afghanistan  is huge news but another long suffering country has had a disastrous event too. #Haiti\nBBC News - Haiti earthquake: Rescuers search for survivors as death toll climbs to 1,297\nhttps://t.co/smlc2b3wta",1000,"{'1000': {'1': 0.5453893542289734, 'none': 0.05748361349105835, '13': 0.04878571256995201, '14': 0.03653880953788757, '12': 0.033529896289110184}}",37842,"{'37': {'3000': 0.1409357786178589, '1': 0.10391952842473984, '5000': 0.08750902116298676, 'none': 0.054761745035648346, '4000': 0.03763715550303459}, ',': {'00': 0.15384486317634583, '|': 0.1514597237110138, '50': 0.07154450565576553, '000': 0.0704353079199791, '97': 0.05748762562870979}, '8': {'000': 0.7098954916000366, '500': 0.07902824878692627, '8': 0.022465767338871956, '9': 0.02211747132241726, '700': 0.013840760104358196}, '42': {'98': 0.035657063126564026, '95': 0.02842829003930092, '90': 0.02568282186985016, '78': 0.025087878108024597, '67': 0.024892641231417656}}",Afghanistan,"{'Af': {'H': 0.7373545169830322, 'Af': 0.17789506912231445, 'Port': 0.01616351306438446, '\n': 0.007877466268837452, 'Ha': 0.006790800020098686}, 'ghan': {'ghan': 0.9948963522911072, 'rica': 0.0027084825560450554, 'gan': 0.001642777817323804, 'gh': 0.0006138611934147775, 'g': 4.343785622040741e-05}, 'istan': {'istan': 0.9990605711936951, 'ist': 0.0004106312699150294, '|': 0.00014302338240668178, 'istani': 5.428555959952064e-05, 'ast': 5.020593016524799e-05}}","[-9.3668222, 52.2799713, -8.1558156, 52.7568583]"
30,2021-08-16T05:48:15.000Z,Complete panic and chaos right now at kabul Airport. Two people shot dead and many injured at airport. It is heart breaking to see humanitarian crisis unfolding.\nVideo @SultanFaizy https://t.co/aLEQlEJBWh,2,"{'2': {'none': 0.41992712020874023, '2': 0.3705843985080719, 'two': 0.025816626846790314, '1': 0.014036254957318306, '4': 0.012880392372608185}}",-1,"{'many': {'many': 0.17901411652565002, 'none': 0.14161182940006256, '1000': 0.060906488448381424, '5000': 0.056771088391542435, '6000': 0.05128840357065201}}",kabul,"{'k': {'K': 0.5565555691719055, 'Af': 0.21124467253684998, 'k': 0.14071927964687347, '#': 0.016545960679650307, '\n': 0.01119555626064539}, 'abul': {'abul': 0.9984612464904785, 'ab': 0.0005028141313232481, 'abl': 0.00021966321219224483, 'af': 0.00011575439566513523, 'AB': 7.955674664117396e-05}}","[69.328873, 27.708226, 75.382124, 34.019989]"
31,2021-08-16T03:34:06.000Z,Death toll rises to 1300 at #Haiti,1300,"{'13': {'13': 0.8607853651046753, '12': 0.05996629595756531, 'none': 0.01588948629796505, '1200': 0.007804653141647577, '1': 0.007743917405605316}, '00': {'00': 0.996235191822052, '000': 0.0008336395840160549, '01': 0.0006341994740068913, '|': 0.0005596791743300855, '30': 0.0003613560111261904}}",400000,"{'400': {'none': 0.33242374658584595, '5000': 0.04864433780312538, '6000': 0.039393384009599686, '3000': 0.034494005143642426, '1000': 0.03190173953771591}, ',': {'|': 0.9458709955215454, '000': 0.014362291432917118, '3': 0.005757732316851616, ',': 0.0037466275971382856, '2': 0.00320466049015522}, '000': {'000': 0.9630190134048462, '00': 0.011841800063848495, '0000': 0.003041225718334317, ' 000': 0.002260047011077404, '500': 0.0018018666887655854}}",Haiti,"{'H': {'H': 0.9570192694664001, '#': 0.009680112823843956, 'Port': 0.009093624539673328, 'Ha': 0.007900677621364594, '\n': 0.002730401000007987}, 'ait': {'ait': 0.9993232488632202, 'ond': 0.00033003822318278253, 'ai': 7.026920502539724e-05, 'av': 5.690573379979469e-05, 'ain': 3.9726604882162064e-05}, 'i': {'i': 0.9983939528465271, 'ian': 0.0005187402130104601, 'ia': 0.00016450908151455224, 'í': 0.00013218676031101495, 'ï': 8.94420372787863e-05}}","[-95.438435, 29.497739, -95.215364, 29.59803]"
32,2021-08-16T01:38:22.000Z,"Death toll of powerful #Haiti earthquake soars over 1,200",1201,"{'12': {'1200': 0.33447501063346863, '12': 0.2193540781736374, '1': 0.10280918329954147, '13': 0.08325742185115814, '14': 0.03665774315595627}, '01': {'20': 0.26078274846076965, '02': 0.18783476948738098, '01': 0.08270253241062164, '12': 0.026640634983778, '21': 0.026433316990733147}}",5000,"{'5000': {'none': 0.11023257672786713, '5000': 0.06633913516998291, '6000': 0.06087620556354523, '1000': 0.04704148694872856, '12': 0.04704148694872856}}",Haiti,"{'H': {'H': 0.922019362449646, 'Port': 0.03519630804657936, 'Ha': 0.00969760399311781, 'P': 0.006561726331710815, '#': 0.003948916681110859}, 'ait': {'ait': 0.9988349080085754, 'ond': 0.0006067365757189691, 'av': 0.00012230676657054573, 'ain': 8.605355105828494e-05, 'ai': 4.903183798887767e-05}, 'i': {'i': 0.9983805418014526, 'ian': 0.0005608844221569598, 'í': 0.00017926940927281976, 'ia': 0.00012035579129587859, 'ï': 8.668903319630772e-05}}","[-80.498029, 25.726759, -80.383636, 25.7898358]"
33,2021-08-16T00:56:43.000Z,"Heartbreaking.  Already nearly 1300 casualties and countless hurt. Sadly, numbers will rise.  \n#Haiti #earthquake\nPhotos Show The Devastation Caused By Haiti Earthquake.\nhttps://t.co/t4kDzM1O0D",1300,"{'13': {'13': 0.793958306312561, '12': 0.07213890552520752, 'none': 0.017956793308258057, '1': 0.009315861389040947, '14': 0.00815724115818739}, '00': {'00': 0.9692725539207458, '90': 0.004523826763033867, '01': 0.0036349971778690815, '|': 0.0028089082334190607, '10': 0.0015035001561045647}}",5000,"{'5000': {'6000': 0.17037467658519745, 'none': 0.10173536837100983, '4000': 0.09937867522239685, '5000': 0.0948277935385704, '3000': 0.05155697837471962}}",Haiti,"{'H': {'H': 0.9443215131759644, 'Port': 0.026788339018821716, 'Ha': 0.006564764771610498, '#': 0.002611282980069518, 'P': 0.0017668824875727296}, 'ait': {'ait': 0.9993199110031128, 'ond': 0.00024912512162700295, 'ai': 7.59788672439754e-05, 'av': 6.705110718030483e-05, 'ain': 4.905564492219128e-05}, 'i': {'i': 0.999258816242218, 'ian': 0.0001822526683099568, 'í': 0.00010384444613009691, 'is': 5.180992229725234e-05, 'ii': 5.140673238201998e-05}}","[-83.800262, 42.215087, -83.659681, 42.326592]"
34,2021-08-16T00:54:11.000Z,"This is appalling. I am so, so sorry to the people of #Haiti\nPlease, please can we send some help @BorisJohnson and @DominicRaab?? \nDeath toll from Haiti quake jumps to 724 as tropical storm looms https://t.co/Cf0r1Dbu6P via https://t.co/McTOn1C34H",624,"{'6': {'7': 0.4949299991130829, 'none': 0.2733262777328491, '24': 0.07356477528810501, '725': 0.008924419991672039, '72': 0.00878605991601944}, '24': {'24': 0.9228491187095642, '|': 0.017168747261166573, '22': 0.008976887911558151, '34': 0.008433005772531033, '64': 0.006723377853631973}}",4000,"{'4000': {'4000': 0.7583716511726379, '4': 0.03033868409693241, 'none': 0.02534891664981842, '40': 0.02381310611963272, '400': 0.020689185708761215}}",Haiti,"{'H': {'H': 0.9429435729980469, 'Port': 0.025524312630295753, 'Ha': 0.010312753729522228, ' Haiti': 0.002030701842159033, 'T': 0.001544876373372972}, 'ait': {'ait': 0.9995130300521851, 'ond': 0.00016341180889867246, 'ai': 7.719027053099126e-05, 'ain': 4.3981694034300745e-05, 'av': 3.973415005020797e-05}, 'i': {'i': 0.9990076422691345, 'ian': 0.00023033106117509305, 'í': 0.00016590124869253486, 'I': 9.906415652949363e-05, 'ii': 8.022459951462224e-05}}","[-1.476463, 50.883056, -1.3164712, 50.959599]"
35,2021-08-15T22:50:45.000Z,I’ve learned that 5 people who worship at LoganFirst #umc have family in Haiti impacted by earthquake.  Some injuries and destroyed homes (no deaths we know of at this time).  Please pray.  We will collect a special love offering,5,"{'5': {'5': 0.456632137298584, 'none': 0.4029764235019684, '4': 0.023456042632460594, '0': 0.022912684828042984, '1': 0.014564188197255135}}",-1,"{'none': {'none': 0.5396139621734619, '4': 0.05643228814005852, '0': 0.05643228814005852, '5': 0.035314422100782394, '1': 0.030922342091798782}}",Haiti,"{'H': {'H': 0.6816463470458984, 'L': 0.12609189748764038, '\n': 0.023143140599131584, 'Port': 0.01641094498336315, 'P': 0.01248478889465332}, 'ait': {'ait': 0.9992716908454895, 'ond': 0.00012331991456449032, 'av': 9.604165097698569e-05, 'oll': 7.538395584560931e-05, 'ollywood': 3.4513286664150655e-05}, 'i': {'i': 0.9978078007698059, 'ian': 0.0008029688615351915, 'I': 0.00036762593663297594, 'í': 0.00024109498190227896, 'ia': 9.741117537487298e-05}}","[-86.4139514, 40.721652, -86.29038, 40.779044]"
36,2021-08-15T21:35:15.000Z,Death toll in massive #Haiti quake jumps to 724: govt https://t.co/7nXVhGj2Fh,724,"{'7': {'7': 0.5494871139526367, 'none': 0.26364681124687195, '24': 0.07732735574245453, '74': 0.010882003232836723, '720': 0.006397200282663107}, '24': {'24': 0.9957994818687439, '23': 0.0017778787296265364, '22': 0.00043910506065003574, '21': 0.00026633069501258433, '240': 0.0002058044046862051}}",6000,"{'6000': {'none': 0.6818326711654663, '4000': 0.049391794949769974, '3': 0.02426043339073658, '7': 0.020270351320505142, '0': 0.017888521775603294}}",Haiti,"{'H': {'H': 0.9576670527458191, 'Port': 0.018382061272859573, 'Ha': 0.007427023258060217, '#': 0.002355345990508795, ' Haiti': 0.0020785857923328876}, 'ait': {'ait': 0.9994743466377258, 'ond': 0.00030528163188137114, 'ain': 3.53389150404837e-05, 'ai': 3.398510307306424e-05, 'av': 2.709528780542314e-05}, 'i': {'i': 0.9990058541297913, 'ian': 0.0004236428940203041, 'ia': 0.00010381815081927925, 'í': 7.715110405115411e-05, 'ii': 4.60690280306153e-05}}","[36.6645733, -1.3890532, 37.0626672, -1.1606735]"
37,2021-08-15T21:16:53.000Z,Death toll from this weekend’s #earthquake in south west #Haiti is now over 700. Thoughts and prayers with those affected in the country.,700,"{'700': {'700': 0.6626417636871338, '7': 0.10004394501447678, 'none': 0.07094177603721619, 'over': 0.035671766847372055, '70': 0.02321205846965313}}",-1,"{'none': {'none': 0.5408999919891357, '5000': 0.04545268788933754, '4000': 0.04170973226428032, '3000': 0.03325389698147774, '6000': 0.024712197482585907}}",Haiti,"{'H': {'H': 0.9178982377052307, 'South': 0.02075991779565811, 'south': 0.010357506573200226, '\n': 0.00845355074852705, 'Port': 0.006233257707208395}, 'ait': {'ait': 0.9996335506439209, 'ond': 0.0001464990637032315, 'ai': 3.821656355285086e-05, 'av': 2.4867995307431556e-05, 'ain': 2.2820153390057385e-05}, 'i': {'i': 0.9986292123794556, 'ian': 0.0006066116038709879, 'í': 0.0001261631987290457, 'is': 9.302690887125209e-05, 'ia': 8.273984713014215e-05}}","[-0.3229167, 51.3428601, -0.234011, 51.437266]"
38,2021-08-15T20:37:36.000Z,#Earthquake in #HAITI\nhttps://t.co/glN5yUwkiF\n\nPORT-AU-PRINCE (Reuters) -  The death toll from a devastating earthquake in Haiti rose to 724 on Sunday as rescue workers scrambled to find survivors buried un...,7005,"{'700': {'7': 0.6245517134666443, 'none': 0.06380197405815125, '24': 0.047044627368450165, ' 7': 0.04667852073907852, '74': 0.038697853684425354}, '5': {'|': 0.7905665040016174, '4': 0.06096194311976433, '8': 0.02057984657585621, '2': 0.019033245742321014, '6': 0.017740938812494278}}",724,"{'7': {'7': 0.13798581063747406, '\n': 0.12962566316127777, '4000': 0.09784658253192902, 'none': 0.09049329906702042, '4': 0.06724891066551208}, '24': {'24': 0.8564288020133972, '000': 0.029305381700396538, '200': 0.013106178492307663, '|': 0.012506002560257912, '23': 0.006906469818204641}}",Haiti,"{'H': {'H': 0.6843780279159546, 'Port': 0.16255402565002441, 'HA': 0.04880756884813309, '\n': 0.03175969049334526, 'Ha': 0.026536215096712112}, 'ait': {'ait': 0.999221920967102, 'ai': 0.00016593684267718345, 'ain': 0.00011053775961045176, 'ond': 7.96173553681001e-05, 'av': 6.056969505152665e-05}, 'i': {'i': 0.9982581734657288, 'I': 0.00047969105071388185, 'ian': 0.00047225411981344223, 'í': 0.0001938126952154562, 'is': 0.0001130499440478161}}","[-80.498527, 25.65479, -80.4158778, 25.6886916]"
39,2021-08-15T19:20:01.000Z,Haiti death toll is standing at 724ppl and counting #Haitiearthquake2021,740,"{'740': {'7': 0.6114968657493591, 'none': 0.18943288922309875, '24': 0.08021093159914017, '74': 0.019201191142201424, '72': 0.0065328762866556644}}",5000,"{'5000': {'none': 0.11068637669086456, '4000': 0.09921862930059433, '7': 0.09393831342458725, '3000': 0.06926576793193817, '3': 0.04686756432056427}}",Port-au-Prince,"{'Port': {'H': 0.8746016621589661, 'Port': 0.05768623575568199, 'Ha': 0.014585363678634167, '#': 0.007868213579058647, 'P': 0.007276908028870821}, '-': {'-': 0.9948766827583313, ' Prince': 0.0016817018622532487, 'Prince': 0.001052382169291377, 'p': 0.0008589292410761118, ' -': 0.0005949629121460021}, 'au': {'au': 0.8988938927650452, 'A': 0.07612790912389755, 'a': 0.011674593202769756, 'de': 0.003424147143959999, 'AU': 0.0018471889197826385}, 'Prince': {'Prince': 0.9912350177764893, 'pr': 0.004963329061865807, 'Prin': 0.000889875867869705, ' Prince': 0.000407414830988273, 'Pr': 0.00036520432331599295}}","[-61.9305415, 10.0424194, -60.4930236, 11.3585325]"
40,2021-08-15T17:53:22.000Z,"Sending prayers 🙏 up for #Haiti \n\nOver 700 dead after Haiti earthquake, rescuers continue searching for survivors #NewsBreak  https://t.co/WCbIyLNzxv",700,"{'700': {'700': 0.6655585169792175, 'none': 0.1331200748682022, '7': 0.051724884659051895, 'over': 0.027257101610302925, '70': 0.01829955168068409}}",-1,"{'None': {'none': 0.2878226637840271, '5000': 0.11538589000701904, '3000': 0.10924515873193741, '4000': 0.10262633860111237, '6000': 0.054504428058862686}}",Haiti,"{'H': {'H': 0.9329038262367249, 'Port': 0.018766101449728012, '\n': 0.016304271295666695, '#': 0.005678798537701368, 'Ha': 0.005293222144246101}, 'ait': {'ait': 0.9997144341468811, 'ai': 5.8278015785617754e-05, 'av': 4.468330735107884e-05, 'ond': 3.8219655834836885e-05, 'ain': 3.372872743057087e-05}, 'i': {'i': 0.9994279742240906, 'ian': 0.00018515408737584949, 'í': 0.00010884647781495005, 'I': 4.608849485521205e-05, 'ii': 2.4862880309228785e-05}}","[-80.389019, 35.9341262, -80.100949, 36.240211]"
41,2021-08-15T17:01:28.000Z,"Let's pray for our brothers and sisters in Haiti as the death toll continues to rise over 700 people from the tropical storm. @ Atlanta, Georgia https://t.co/RafEfZ5d7a",700,"{'700': {'700': 0.7390767335891724, 'none': 0.10985394567251205, '7': 0.05395844951272011, '70': 0.019239475950598717, '701': 0.006053969729691744}}",5000,"{'5000': {'none': 0.424351304769516, '5000': 0.06558678299188614, 'Atlanta': 0.046872757375240326, '3000': 0.03650454059243202, '500': 0.030263327062129974}}",Haiti,"{'H': {'H': 0.872282087802887, 'Atlanta': 0.027176780626177788, 'Port': 0.015008442103862762, 'Georgia': 0.011328967288136482, 'Ha': 0.009103081189095974}, 'ait': {'ait': 0.9993174076080322, 'ai': 0.00015835315571166575, 'ond': 0.00010224048310192302, 'av': 7.717516564298421e-05, 'ain': 4.867376628681086e-05}, 'i': {'i': 0.9977630376815796, 'ian': 0.0006976001895964146, 'í': 0.0003913182008545846, 'I': 0.0003913182008545846, 'ip': 0.00011658068979158998}}","[-84.576827, 33.6475029, -84.289385, 33.8868859]"
42,2021-08-15T16:23:51.000Z,"Gosh, another huge earthquake / tsunami in Haiti. \n\nDeath toll over 700.\n\n#PrayForHaiti 🙏🏻",7034,"{'70': {'700': 0.6597428321838379, 'none': 0.12591412663459778, '7': 0.0711853876709938, '70': 0.016387807205319405, 'over': 0.015759998932480812}, '34': {'|': 0.6235018968582153, '70': 0.03356476500630379, '50': 0.024175791069865227, '71': 0.01674608141183853, '+': 0.016230858862400055}}",3000,"{'3000': {'none': 0.11096399277448654, '5000': 0.08709663152694702, '7': 0.07626436650753021, '700': 0.06889911741018295, '6000': 0.06422103196382523}}",Haiti,"{'H': {'H': 0.9022681713104248, 'Port': 0.037827517837285995, 'Ha': 0.01391596533358097, 'P': 0.011094775050878525, ' Haiti': 0.003410253906622529}, 'ait': {'ait': 0.9987356066703796, 'ond': 0.0004041335196234286, 'ain': 0.0002197235735366121, 'ai': 0.00013966481492388994, 'oll': 9.903718455461785e-05}, 'i': {'i': 0.9981604218482971, 'ian': 0.0005969266640022397, 'I': 0.00023744101054035127, 'í': 0.00020151358330622315, 'ia': 0.00015693892783019692}}","[-103.0026515, 33.615765, -94.431332, 37.002328]"
43,2021-08-15T16:10:37.000Z,My ❤️ aches… prayers 🙏🏾 going out to #Haiti #haitiearthquake the death toll is now at more than 700 ppl 🌍,700,"{'700': {'700': 0.6631864309310913, 'none': 0.12756405770778656, '7': 0.08236154168844223, '70': 0.021318092942237854, '701': 0.009913833811879158}}",-1,"{'none': {'none': 0.3841865062713623, '5000': 0.07990318536758423, '4000': 0.06834480911493301, '3000': 0.048843830823898315, '6000': 0.039247121661901474}}",Haiti,"{'H': {'H': 0.9230782985687256, 'Ha': 0.022397831082344055, 'Port': 0.014688855968415737, '#': 0.008304325863718987, 'P': 0.007862377911806107}, 'ait': {'ait': 0.9996707439422607, 'ai': 7.72024504840374e-05, 'ond': 5.142792360857129e-05, 'av': 5.0630605983315036e-05, 'ain': 3.425838076509535e-05}, 'i': {'i': 0.9989627599716187, 'ian': 0.0004042254586238414, 'í': 0.0001909425773192197, 'ï': 5.7781020586844534e-05, 'ia': 5.428024451248348e-05}}","[-77.119401, 38.801826, -76.909396, 38.9953797]"
44,2021-08-15T15:51:07.000Z,"PORT-AU-PRINCE, Haiti (AP) — Haiti quake death toll soars to 724, according to civil defense director.  ##PrayForHaiti https://t.co/sV0CYmLTbb",724,"{'7': {'7': 0.6760683059692383, '24': 0.1103651151061058, 'none': 0.0852835550904274, '74': 0.015410423278808594, '3': 0.015410423278808594}, '24': {'24': 0.9958469271659851, '23': 0.0015089379157871008, '22': 0.0005014975904487073, '26': 0.0002173831162508577, '21': 0.00021234745508991182}}",4000,"{'4000': {'4000': 0.36606132984161377, 'none': 0.2636640965938568, '3000': 0.0626257061958313, '5000': 0.04204491153359413, '6000': 0.027359144762158394}}",Port-au-Prince,"{'Port': {'H': 0.7045433521270752, 'Port': 0.1781364530324936, 'P': 0.06156231090426445, 'PORT': 0.010208032093942165, '#': 0.009589559398591518}, '-': {'-': 0.9986464381217957, ' Prince': 0.0005148335476405919, 'Prince': 0.0003796144446823746, ' -': 9.980503091355786e-05, '–': 6.0063724959036335e-05}, 'au': {'au': 0.9190836548805237, 'A': 0.06554599851369858, 'a': 0.004460461437702179, 'AU': 0.004391307942569256, 'à': 0.0022428606171160936}, 'Prince': {'Prince': 0.9642311930656433, 'pr': 0.02267654426395893, 'Pr': 0.00538615183904767, 'Prin': 0.0042607965879142284, 'PR': 0.0009359727264381945}}","[-80.257234, 26.6655153, -80.1562012, 26.736442]"
45,2021-08-15T14:08:10.000Z,"Pray for Haiti 🇭🇹 \nA 7.2-magnitude earthquake hit the country of Haiti Saturday morning causing  damage to homes, roads, and buildings and killing over 200 people. \n\nWe got word last night from Robenson that our youth empowerment program zone was not affected.🙏🏽 https://t.co/WQYgOCrYmc",200,"{'200': {'200': 0.6763530969619751, 'none': 0.15939776599407196, 'over': 0.04256746917963028, '400': 0.01154673658311367, '2': 0.010513423010706902}}",-1,"{'none': {'none': 0.3676961362361908, '4000': 0.1021055281162262, '5000': 0.08077212423086166, '2000': 0.06339877098798752, '200': 0.0533871129155159}}",Haiti,"{'H': {'H': 0.9565333127975464, 'Port': 0.007594148628413677, 'Ha': 0.006860741879791021, 'P': 0.004293343052268028, '\n': 0.004226780962198973}, 'ait': {'ait': 0.9991968274116516, 'ai': 0.00015346262080129236, 'ond': 0.000148741077282466, 'av': 0.00010713418305385858, 'oll': 5.8247842389391735e-05}, 'i': {'i': 0.9990218877792358, 'ian': 0.0003197875921614468, 'í': 0.0002232477127108723, 'I': 8.473527122987434e-05, 'ia': 5.302597855916247e-05}}","[-87.940033, 41.644102, -87.523993, 42.0230669]"
